round,global_accuracy,global_loss,comm_cost_mb
1,0.096237,2.272903,
2,0.09335,2.241426,
3,0.102864,2.27816,
4,0.099778,2.263857,
5,0.096784,2.221227,
6,0.105294,2.249254,
7,0.110814,2.25477,
8,0.12446,2.251514,
9,0.120726,2.240889,
10,0.117104,2.207865,
11,0.13491,2.207173,
12,0.140384,2.219356,
13,0.136845,2.171228,
14,0.152041,2.154034,
15,0.16563,2.116831,
16,0.190388,2.079121,
17,0.193403,2.016292,
18,0.208543,2.003365,
19,0.244438,1.92231,
20,0.246061,1.8555,
21,0.288688,1.784077,
22,0.301668,1.723968,
23,0.333233,1.663065,
24,0.378056,1.575363,
25,0.42424,1.470296,
26,0.439423,1.399166,
27,0.492061,1.284074,
28,0.52362,1.215817,
29,0.561312,1.125381,
30,0.609247,1.049468,
31,0.627752,0.968865,
32,0.642865,0.927129,
33,0.667454,0.861281,
34,0.700587,0.762104,
35,0.727658,0.76253,
36,0.748298,0.682581,
37,0.759653,0.654967,
38,0.775451,0.621712,
39,0.780558,0.589992,
40,0.800601,0.539951,
41,0.803498,0.53524,
42,0.81309,0.523353,
43,0.815261,0.493263,
44,0.83506,0.481497,
45,0.828835,0.479762,
46,0.832993,0.488853,
47,0.834749,0.477159,
48,0.836052,0.470147,
49,0.840687,0.4532,
50,0.842876,0.458286,
51,0.839809,0.435727,
52,0.85398,0.45155,
53,0.84527,0.450942,
54,0.847265,0.412686,
55,0.848802,0.437865,
56,0.850089,0.428381,
57,0.848245,0.451343,
58,0.848888,0.430771,
59,0.851255,0.430481,
60,0.854318,0.432632,
61,0.851699,0.425509,
62,0.845415,0.442914,
63,0.851599,0.441552,
64,0.853613,0.414921,
65,0.851238,0.407984,
66,0.852915,0.419306,
67,0.85277,0.441805,
68,0.848794,0.432311,
69,0.855887,0.411815,
70,0.853607,0.433887,
71,0.854855,0.411683,
72,0.8511,0.446081,
73,0.856543,0.422611,
74,0.850004,0.455208,
75,0.845457,0.431583,
76,0.851857,0.434314,
77,0.84742,0.444162,
78,0.854719,0.454789,
79,0.847999,0.42605,
80,0.855562,0.454751,
81,0.85114,0.412948,
82,0.850319,0.444099,
83,0.853899,0.445945,
84,0.858889,0.426636,
85,0.847573,0.416988,
86,0.850701,0.444757,
87,0.858103,0.43475,
88,0.851254,0.430351,
89,0.856101,0.422485,
90,0.850777,0.431041,
91,0.851088,0.45461,
92,0.84763,0.462697,
93,0.848577,0.421749,
94,0.848555,0.440113,
95,0.851142,0.446019,
96,0.847904,0.411087,
97,0.849715,0.435499,
98,0.84532,0.43067,
99,0.853342,0.421918,
100,0.847904,0.418312,
