round,global_accuracy,global_loss,comm_cost_mb
1,0.112828,2.244029,
2,0.113776,2.199912,
3,0.121267,2.249542,
4,0.120806,2.246899,
5,0.141218,2.215745,
6,0.136982,2.274453,
7,0.13641,2.231757,
8,0.132371,2.233274,
9,0.1284,2.257611,
10,0.136036,2.299676,
11,0.131955,2.327852,
12,0.127997,2.246206,
13,0.13367,2.234971,
14,0.12966,2.255657,
15,0.12577,2.261042,
16,0.121997,2.255162,
17,0.126567,2.286299,
18,0.124891,2.216364,
19,0.123411,2.230334,
20,0.134662,2.202266,
21,0.130622,2.215118,
22,0.136798,2.257836,
23,0.132694,2.248252,
24,0.128713,2.248994,
25,0.131729,2.246399,
26,0.134886,2.163484,
27,0.133061,2.255881,
28,0.151305,2.21575,
29,0.146766,2.19861,
30,0.152098,2.213209,
31,0.147535,2.206786,
32,0.165761,2.159053,
33,0.160788,2.182118,
34,0.173277,2.149763,
35,0.170689,2.135922,
36,0.184823,2.142159,
37,0.190003,2.085863,
38,0.19125,2.113752,
39,0.200068,2.085972,
40,0.216523,2.047989,
41,0.230276,2.075346,
42,0.243755,2.010899,
43,0.244482,2.003833,
44,0.274258,1.980829,
45,0.287492,1.952545,
46,0.285638,1.916349,
47,0.310408,1.904492,
48,0.317986,1.863574,
49,0.336443,1.861469,
50,0.353167,1.824573,
51,0.362533,1.771167,
52,0.366842,1.763345,
53,0.389831,1.74868,
54,0.398344,1.697109,
55,0.398602,1.718332,
56,0.415324,1.662413,
57,0.428585,1.669123,
58,0.446348,1.667905,
59,0.44152,1.633135,
60,0.447687,1.620923,
61,0.446237,1.623703,
62,0.459317,1.562225,
63,0.460171,1.579622,
64,0.471501,1.582031,
65,0.477458,1.553946,
66,0.469901,1.582896,
67,0.474695,1.54902,
68,0.477882,1.547955,
69,0.484647,1.568004,
70,0.477851,1.545776,
71,0.486262,1.547179,
72,0.491181,1.544665,
73,0.486739,1.526281,
74,0.482849,1.533493,
75,0.49139,1.547966,
76,0.490697,1.564003,
77,0.492705,1.526868,
78,0.495238,1.519402,
79,0.495135,1.504469,
80,0.497535,1.530381,
81,0.496103,1.530626,
82,0.490515,1.516618,
83,0.502284,1.533492,
84,0.493875,1.531998,
85,0.498169,1.550754,
86,0.501211,1.530949,
87,0.495142,1.547789,
88,0.496704,1.514186,
89,0.492363,1.514013,
90,0.495922,1.534166,
91,0.50115,1.538783,
92,0.498197,1.534597,
93,0.506716,1.535423,
94,0.504156,1.504986,
95,0.494828,1.514375,
96,0.487134,1.524592,
97,0.503473,1.516885,
98,0.498721,1.512821,
99,0.496005,1.527005,
100,0.493218,1.538062,
