round,global_accuracy,global_loss,comm_cost_mb
1,0.090755,2.276396,
2,0.095859,2.283052,
3,0.092983,2.27864,
4,0.104061,2.279938,
5,0.100939,2.298678,
6,0.097911,2.226538,
7,0.096155,2.281925,
8,0.098909,2.253166,
9,0.097074,2.238236,
10,0.101279,2.230159,
11,0.099811,2.273491,
12,0.096817,2.250516,
13,0.110769,2.297498,
14,0.107446,2.262983,
15,0.104222,2.216254,
16,0.124493,2.25955,
17,0.120758,2.241625,
18,0.123795,2.232846,
19,0.140321,2.234231,
20,0.136112,2.202518,
21,0.132028,2.193303,
22,0.138726,2.169943,
23,0.136972,2.20355,
24,0.157054,2.139505,
25,0.165812,2.153336,
26,0.179182,2.09351,
27,0.185511,2.082346,
28,0.199136,2.068144,
29,0.193161,2.047367,
30,0.203098,2.01367,
31,0.229269,1.979459,
32,0.234429,1.931935,
33,0.254779,1.916252,
34,0.285658,1.899972,
35,0.291486,1.873415,
36,0.303856,1.822222,
37,0.329879,1.77329,
38,0.353541,1.715296,
39,0.373208,1.687298,
40,0.401124,1.641446,
41,0.412762,1.618453,
42,0.417095,1.591509,
43,0.435261,1.492719,
44,0.462154,1.511784,
45,0.473777,1.455639,
46,0.496429,1.43868,
47,0.499183,1.408476,
48,0.509377,1.360627,
49,0.522367,1.310491,
50,0.532831,1.337223,
51,0.54328,1.289828,
52,0.552132,1.290334,
53,0.565574,1.267213,
54,0.572453,1.228287,
55,0.57525,1.241593,
56,0.585122,1.227909,
57,0.577052,1.220992,
58,0.593127,1.22494,
59,0.59717,1.187593,
60,0.60571,1.167911,
61,0.609769,1.164064,
62,0.614284,1.176657,
63,0.613453,1.151697,
64,0.612706,1.1602,
65,0.607139,1.145172,
66,0.620962,1.13245,
67,0.623794,1.137488,
68,0.621168,1.128157,
69,0.622929,1.146193,
70,0.626535,1.155359,
71,0.627848,1.139033,
72,0.618568,1.151495,
73,0.618903,1.127872,
74,0.627692,1.137768,
75,0.631623,1.131074,
76,0.618842,1.126743,
77,0.626708,1.124995,
78,0.632004,1.12559,
79,0.62085,1.133943,
80,0.622254,1.148871,
81,0.628155,1.109508,
82,0.631585,1.156377,
83,0.619386,1.137654,
84,0.629499,1.128238,
85,0.629057,1.131931,
86,0.625012,1.143203,
87,0.622476,1.149852,
88,0.634078,1.110326,
89,0.62801,1.142779,
90,0.626127,1.122852,
91,0.626535,1.139371,
92,0.625759,1.124545,
93,0.630394,1.121985,
94,0.624799,1.107729,
95,0.622222,1.109687,
96,0.621439,1.115294,
97,0.629548,1.125009,
98,0.625059,1.111561,
99,0.624409,1.106899,
100,0.623455,1.13315,
