round,global_accuracy,global_loss,comm_cost_mb
1,0.126962,2.333064,
2,0.130422,2.311781,
3,0.12651,2.362628,
4,0.127211,2.270159,
5,0.126986,2.324259,
6,0.133825,2.333195,
7,0.132513,2.323199,
8,0.134003,2.287546,
9,0.129983,2.289236,
10,0.126083,2.322994,
11,0.148123,2.310709,
12,0.14368,2.273087,
13,0.143971,2.302684,
14,0.156423,2.305209,
15,0.151731,2.242566,
16,0.154834,2.196704,
17,0.171021,2.203183,
18,0.177075,2.151863,
19,0.192559,2.155744,
20,0.209444,2.145672,
21,0.205839,2.108173,
22,0.225921,2.096136,
23,0.246607,2.00675,
24,0.26224,1.937146,
25,0.294336,1.965181,
26,0.295414,1.856002,
27,0.330445,1.787248,
28,0.364698,1.759981,
29,0.381829,1.706709,
30,0.411555,1.58765,
31,0.441776,1.503781,
32,0.477873,1.454406,
33,0.496186,1.364149,
34,0.521814,1.297904,
35,0.547759,1.221041,
36,0.578928,1.161097,
37,0.612547,1.098651,
38,0.630294,1.012982,
39,0.651474,0.966943,
40,0.675514,0.90635,
41,0.68691,0.870061,
42,0.714276,0.851944,
43,0.726308,0.772642,
44,0.742053,0.741128,
45,0.743843,0.729107,
46,0.751303,0.70806,
47,0.765861,0.679799,
48,0.770208,0.665972,
49,0.782477,0.632844,
50,0.789958,0.58809,
51,0.792396,0.608865,
52,0.791796,0.601695,
53,0.800737,0.580623,
54,0.801261,0.581625,
55,0.805978,0.591029,
56,0.804719,0.586343,
57,0.803215,0.568476,
58,0.803164,0.561377,
59,0.814429,0.58247,
60,0.812877,0.544437,
61,0.81781,0.551826,
62,0.81491,0.560665,
63,0.819625,0.5255,
64,0.816043,0.545499,
65,0.812055,0.523992,
66,0.816518,0.537429,
67,0.814249,0.540568,
68,0.816061,0.5417,
69,0.824054,0.540416,
70,0.825494,0.555791,
71,0.822025,0.5306,
72,0.817135,0.527792,
73,0.820112,0.53811,
74,0.820331,0.542436,
75,0.819332,0.533933,
76,0.814848,0.532658,
77,0.821681,0.535952,
78,0.818632,0.548701,
79,0.820874,0.519275,
80,0.818643,0.526713,
81,0.818784,0.542394,
82,0.82107,0.558238,
83,0.817054,0.533681,
84,0.821376,0.549339,
85,0.814972,0.545849,
86,0.821776,0.535344,
87,0.818002,0.546348,
88,0.820847,0.542169,
89,0.81622,0.515605,
90,0.81878,0.533726,
91,0.820995,0.52754,
92,0.821707,0.542203,
93,0.816212,0.548883,
94,0.817806,0.528353,
95,0.820184,0.536866,
96,0.815563,0.544794,
97,0.81915,0.527558,
98,0.812172,0.542361,
99,0.819586,0.538518,
100,0.824699,0.505889,
