round,global_accuracy,global_loss,comm_cost_mb
1,0.08946,2.293937,
2,0.091266,2.326563,
3,0.101188,2.301773,
4,0.098153,2.339987,
5,0.095208,2.316584,
6,0.106017,2.32604,
7,0.104859,2.273959,
8,0.101714,2.306583,
9,0.098662,2.28147,
10,0.095702,2.252352,
11,0.108054,2.266019,
12,0.104812,2.265509,
13,0.113472,2.256035,
14,0.116215,2.25549,
15,0.117367,2.242124,
16,0.117735,2.217191,
17,0.116695,2.185732,
18,0.129251,2.186288,
19,0.155869,2.174372,
20,0.15859,2.127183,
21,0.171543,2.160569,
22,0.182519,2.067728,
23,0.1904,2.054497,
24,0.210158,2.02081,
25,0.230037,1.918221,
26,0.263228,1.871869,
27,0.288868,1.862046,
28,0.307678,1.778488,
29,0.349604,1.69441,
30,0.381015,1.623496,
31,0.396444,1.555433,
32,0.435564,1.496978,
33,0.471334,1.404583,
34,0.501289,1.324562,
35,0.532257,1.238658,
36,0.551054,1.180745,
37,0.59751,1.124595,
38,0.605082,1.072863,
39,0.622111,0.992367,
40,0.653306,0.936864,
41,0.666681,0.900523,
42,0.682798,0.853336,
43,0.694225,0.809151,
44,0.706749,0.800406,
45,0.725587,0.76787,
46,0.724826,0.776917,
47,0.732619,0.738599,
48,0.739839,0.712571,
49,0.750696,0.715008,
50,0.758822,0.706738,
51,0.757966,0.696964,
52,0.756268,0.696746,
53,0.765291,0.681089,
54,0.767753,0.6507,
55,0.76256,0.666697,
56,0.769271,0.668565,
57,0.770389,0.655871,
58,0.776087,0.660022,
59,0.774903,0.668509,
60,0.777712,0.655686,
61,0.776153,0.653553,
62,0.778048,0.677595,
63,0.769969,0.638527,
64,0.780859,0.64945,
65,0.773074,0.637721,
66,0.778793,0.652849,
67,0.783278,0.644207,
68,0.779011,0.665646,
69,0.769795,0.631435,
70,0.776737,0.637176,
71,0.774057,0.635843,
72,0.77523,0.632614,
73,0.770765,0.64858,
74,0.77644,0.655873,
75,0.778073,0.648826,
76,0.779034,0.631996,
77,0.774058,0.646797,
78,0.779817,0.651382,
79,0.77525,0.640919,
80,0.777115,0.628749,
81,0.779525,0.652825,
82,0.779858,0.65556,
83,0.780144,0.619565,
84,0.777061,0.625223,
85,0.772356,0.64142,
86,0.780905,0.647206,
87,0.777103,0.665376,
88,0.777145,0.631174,
89,0.770609,0.632126,
90,0.776635,0.623773,
91,0.777942,0.646887,
92,0.773311,0.644323,
93,0.778259,0.635119,
94,0.779125,0.634056,
95,0.778545,0.661233,
96,0.777484,0.627092,
97,0.776551,0.644022,
98,0.772752,0.627263,
99,0.774671,0.65386,
100,0.77947,0.658003,
