round,global_accuracy,global_loss,comm_cost_mb
1,0.087112,2.333428,
2,0.090569,2.277077,
3,0.098775,2.341831,
4,0.105549,2.290026,
5,0.113441,2.264047,
6,0.122783,2.306687,
7,0.119844,2.235053,
8,0.131441,2.245118,
9,0.135968,2.245814,
10,0.143763,2.172904,
11,0.163016,2.173431,
12,0.167281,2.148338,
13,0.182682,2.112575,
14,0.199875,2.045765,
15,0.215225,1.986145,
16,0.240983,1.960732,
17,0.267533,1.86896,
18,0.299109,1.808358,
19,0.336976,1.756702,
20,0.358779,1.62205,
21,0.409089,1.499532,
22,0.455198,1.433672,
23,0.4794,1.354885,
24,0.511176,1.241293,
25,0.557347,1.139899,
26,0.602406,1.060045,
27,0.637895,0.99254,
28,0.668834,0.871138,
29,0.704452,0.800947,
30,0.727272,0.675973,
31,0.75119,0.674422,
32,0.767935,0.614109,
33,0.792035,0.549814,
34,0.817365,0.555505,
35,0.818341,0.532358,
36,0.829111,0.466719,
37,0.841707,0.433531,
38,0.847774,0.451129,
39,0.854074,0.400143,
40,0.858179,0.403724,
41,0.858831,0.364296,
42,0.860796,0.378178,
43,0.873333,0.411851,
44,0.87479,0.360422,
45,0.871718,0.378844,
46,0.877639,0.365753,
47,0.877547,0.372368,
48,0.886764,0.354449,
49,0.879361,0.358265,
50,0.877656,0.322423,
51,0.882143,0.339133,
52,0.885974,0.349298,
53,0.887132,0.335178,
54,0.886018,0.324596,
55,0.885533,0.341333,
56,0.885771,0.339223,
57,0.884945,0.349505,
58,0.883907,0.348353,
59,0.889232,0.335464,
60,0.88823,0.337787,
61,0.887531,0.371257,
62,0.879579,0.314854,
63,0.883488,0.333019,
64,0.880774,0.33743,
65,0.880785,0.359339,
66,0.887456,0.355858,
67,0.89223,0.331664,
68,0.873013,0.366543,
69,0.884021,0.340505,
70,0.875822,0.324267,
71,0.885814,0.339345,
72,0.874444,0.329354,
73,0.88726,0.357075,
74,0.883927,0.3765,
75,0.887183,0.36369,
76,0.888413,0.35144,
77,0.877727,0.321036,
78,0.880121,0.344263,
79,0.883093,0.345711,
80,0.883011,0.346994,
81,0.887043,0.341118,
82,0.881942,0.308249,
83,0.886584,0.331345,
84,0.879459,0.351856,
85,0.88677,0.349508,
86,0.886909,0.327331,
87,0.882181,0.33413,
88,0.890018,0.351802,
89,0.882123,0.351522,
90,0.884598,0.339535,
91,0.884967,0.351635,
92,0.882531,0.325371,
93,0.884518,0.337701,
94,0.878518,0.331399,
95,0.882102,0.341341,
96,0.885346,0.338345,
97,0.884899,0.336334,
98,0.885282,0.346039,
99,0.885376,0.358965,
100,0.881968,0.321085,
