round,global_accuracy,global_loss,comm_cost_mb
1,0.110079,2.257977,
2,0.11063,2.201755,
3,0.115053,2.230648,
4,0.111602,2.238257,
5,0.116081,2.262102,
6,0.120532,2.233552,
7,0.116916,2.202969,
8,0.11986,2.257485,
9,0.119774,2.219009,
10,0.125364,2.18195,
11,0.121603,2.22559,
12,0.132123,2.202795,
13,0.130623,2.209426,
14,0.13649,2.170092,
15,0.137813,2.153669,
16,0.133678,2.168396,
17,0.133357,2.1961,
18,0.149755,2.136149,
19,0.155751,2.131235,
20,0.153665,2.13696,
21,0.160838,2.150969,
22,0.171026,2.12591,
23,0.177921,2.11367,
24,0.175824,2.068918,
25,0.185226,2.079054,
26,0.195811,2.101377,
27,0.20137,2.000892,
28,0.223405,2.034772,
29,0.232762,1.996181,
30,0.25134,1.948463,
31,0.244222,1.910186,
32,0.27443,1.860218,
33,0.282541,1.864525,
34,0.295358,1.840546,
35,0.317089,1.838012,
36,0.333636,1.74153,
37,0.342879,1.699886,
38,0.36958,1.667096,
39,0.380646,1.653669,
40,0.394298,1.594744,
41,0.405374,1.541271,
42,0.430367,1.529839,
43,0.457563,1.483771,
44,0.469098,1.449551,
45,0.489887,1.425366,
46,0.501261,1.35831,
47,0.519667,1.347552,
48,0.535682,1.308711,
49,0.552907,1.273076,
50,0.563874,1.251732,
51,0.565634,1.205933,
52,0.578711,1.219071,
53,0.593754,1.184629,
54,0.588626,1.163214,
55,0.611097,1.125196,
56,0.613927,1.114763,
57,0.63195,1.083398,
58,0.629206,1.101668,
59,0.635362,1.064073,
60,0.643374,1.039692,
61,0.648998,1.028897,
62,0.656436,1.034933,
63,0.666489,1.029369,
64,0.6663,1.000179,
65,0.663391,1.014098,
66,0.674191,0.981267,
67,0.673722,1.004834,
68,0.678364,1.000995,
69,0.674397,0.980272,
70,0.670985,0.985204,
71,0.677047,1.004716,
72,0.676872,0.979538,
73,0.674342,0.967367,
74,0.683017,0.98016,
75,0.688919,0.966713,
76,0.679479,0.97092,
77,0.686959,0.969426,
78,0.682801,0.97582,
79,0.686666,0.968821,
80,0.692054,0.966326,
81,0.688607,0.984558,
82,0.688911,0.952667,
83,0.688804,0.974088,
84,0.689208,0.961135,
85,0.693869,0.947426,
86,0.682428,0.956963,
87,0.690547,0.944991,
88,0.693354,0.959716,
89,0.686075,0.958131,
90,0.689464,0.932642,
91,0.69223,0.950295,
92,0.687572,0.957088,
93,0.692644,0.94302,
94,0.692406,0.962706,
95,0.688049,0.95454,
96,0.691005,0.977931,
97,0.683616,0.958095,
98,0.689918,0.947983,
99,0.69882,0.94899,
100,0.700233,0.943442,
